query_id,claim_id,claim,contradicts,supports,contradicts_len,supports_len,type_sanity,issue,open_question_id,open_question
20992,75587,Former lawmaker Maria Corina Machado is leading the vote count in the Venezuelan opposition's presidential primary,"[[(69229, '(2015, 12, 7)', 'None.')], [(60212, '(2018, 5, 20)', 'None.')], [(62789, '(2023, 10, 2)', 'None.')], [], [(43622, '(2023, 10, 26)', 'None.')], []]","[<generator object gather_excerpts.<locals>.<genexpr> at 0x1269d0890>, <generator object gather_excerpts.<locals>.<genexpr> at 0x126a86740>, <generator object gather_excerpts.<locals>.<genexpr> at 0x126a86350>, <generator object gather_excerpts.<locals>.<genexpr> at 0x126a86ba0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x126a865f0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x126a86e40>]",4,5,False,,,
20992,62946,"The results of the primary have been suspended by Venezuela's Supreme Justice Tribunal, risking the wrath of the United States","[[(69229, '(2015, 12, 7)', 'None.')], [(60212, '(2018, 5, 20)', 'None.')], [(62789, '(2023, 10, 2)', 'None.')], [(45602, '(2023, 10, 22)', 'None.')], [(43622, '(2023, 10, 26)', 'None.')], [(20704, '(2023, 10, 31)', 'None.')]]","[<generator object gather_excerpts.<locals>.<genexpr> at 0x126a86270>, <generator object gather_excerpts.<locals>.<genexpr> at 0x126a86200>, <generator object gather_excerpts.<locals>.<genexpr> at 0x126a86890>, <generator object gather_excerpts.<locals>.<genexpr> at 0x126a86970>, <generator object gather_excerpts.<locals>.<genexpr> at 0x126a86f20>, <generator object gather_excerpts.<locals>.<genexpr> at 0x126ecc120>]",6,5,False,,,
20992,19140,The U.S. government is offering the government of Nicolas Maduro a deal to promote a free election in Venezuela,"[[(69229, '(2015, 12, 7)', 'None.')], [(60212, '(2018, 5, 20)', 'None.')], [(62789, '(2023, 10, 2)', 'None.')], [(45602, '(2023, 10, 22)', 'None.')], [(43622, '(2023, 10, 26)', 'None.')], [(20704, '(2023, 10, 31)', 'None.')]]","[<generator object gather_excerpts.<locals>.<genexpr> at 0x126ecc4a0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x126ecc740>, <generator object gather_excerpts.<locals>.<genexpr> at 0x126ecc580>, <generator object gather_excerpts.<locals>.<genexpr> at 0x126ecc890>, <generator object gather_excerpts.<locals>.<genexpr> at 0x126eccd60>, <generator object gather_excerpts.<locals>.<genexpr> at 0x126eccf90>]",6,5,False,,,
20992,78479,The primary was organized without state help and attracted more than 2.3 million voters,"[[(69229, '(2015, 12, 7)', 'None.')], [(60212, '(2018, 5, 20)', '- The National Electoral Council (CNE) put [turnout] at just 46% but the opposition alleges it was even lower.\n- The CNE said turnout would probably rise to 48%, still well below the figure in the 2013 presidential election, when almost 80% of eligible voters cast their ballots.\n- The opposition alleges that four of the five [CNE members] are government stooges and therefore does not trust the body to be independent.\n- The main opposition coalition had warned that the election would not be free and fair.\n- Mr Falcón, however, broke ranks, arguing Venezuelans should be given a chance to vote Mr Maduro out of office. But following the vote, he too alleged it had been rigged in Mr Maduro\'s favor.\n- US Secretary of State Mike Pompeo denounced the election as a ""sham"" on Twitter.\n- The European Union and Latin American countries had also warned ahead of the vote that they would take measures against the government if it went ahead with the election.')], [(62789, '(2023, 10, 2)', 'None.')], [(45602, '(2023, 10, 22)', ""- The vote to choose a unity opposition candidate to face President Nicolas Maduro in his probable re-election bid next year came amid pledges by the United States to roll back sanctions relief if the government fails to lift bans preventing some opposition figures from holding office.\n- The count - delayed by a server blockage - was expected to resume later on Monday. It was unclear when the next results update would be given.\n- Participation in the vote, organized without state help, was more than double what had been expected in some states.\n- Some of the estimated 3,000 polling locations nationwide had to be moved, according to human rights groups and voters, causing confusion.\n- Voters also faced transportation problems. Gasoline availability was limited in border states Tachira and Bolivar and public transport in the country's interior was working irregularly, according to Reuters witnesses."")], [(43622, '(2023, 10, 26)', 'None.')], [(20704, '(2023, 10, 31)', 'CARACAS, Oct 30 (Reuters) - Venezuela\'s Supreme Justice Tribunal said on Monday it has suspended the results of an opposition presidential primary that took place this month, despite an electoral deal between the government and the opposition that allows each side to choose its candidate.\nThe ruling could risk the wrath of the United States, which this month rolled back some oil and gas industry and bond trading sanctions in exchange for the electoral deal.\nThe U.S. State Department has already said it will reinstate sanctions if the government of President Nicolas Maduro does not lift bans on some opposition candidates and free political prisoners and ""wrongfully detained"" Americans by the end of November.\nThe decision by the court, which the opposition considers an arm of the government, comes after the attorney general announced last week that his office is investigating the primary and members of its organizing commission for electoral violations, financial crimes and conspiracy.\nMembers of the organizing commission were meeting with prosecutors on Monday for interviews related to the case, the commission said on social media.\nThe government has decried alleged fraud since the day of the vote, which was organized without state help and which attracted more than 2.3 million voters.')]]","[<generator object gather_excerpts.<locals>.<genexpr> at 0x127cff0b0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x127cff2e0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x126eccf20>, <generator object gather_excerpts.<locals>.<genexpr> at 0x127cff430>, <generator object gather_excerpts.<locals>.<genexpr> at 0x127cff4a0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x127cfff20>]",6,6,False,,,
20992,11849,The U.S. government has said it will reinstate sanctions if Maduro does not lift bans on opposition candidates and free political prisoners by the end of November,"[[(69229, '(2015, 12, 7)', 'None.')], [(60212, '(2018, 5, 20)', 'None.')], [(62789, '(2023, 10, 2)', 'None.')], [(45602, '(2023, 10, 22)', 'None.')], [(43622, '(2023, 10, 26)', 'None.')], [(20704, '(2023, 10, 31)', 'None.')]]","[<generator object gather_excerpts.<locals>.<genexpr> at 0x127cff510>, <generator object gather_excerpts.<locals>.<genexpr> at 0x127cffe40>, <generator object gather_excerpts.<locals>.<genexpr> at 0x127cffb30>, <generator object gather_excerpts.<locals>.<genexpr> at 0x14f22a190>, <generator object gather_excerpts.<locals>.<genexpr> at 0x14f22a580>, <generator object gather_excerpts.<locals>.<genexpr> at 0x14f22a350>]",6,6,False,,,
46196,20324,"The House committee investigating the January 6th attack on the U.S. Capitol has released its final report, recommending criminal charges against former President Donald Trump and calling for him to be barred from holding federal office.","[[(76402, '(2021, 1, 6)', 'None.')], [], [(66103, '(2021, 1, 6)', 'None.')], [(85735, '(2021, 2, 9)', 'None.')], [(12274, '(2021, 2, 10)', 'None.')], [(24011, '(2021, 10, 22)', 'None.')], [(77501, '(2022, 12, 23)', 'None.')], [(40482, '(2022, 12, 23)', 'None.')]]","[<generator object gather_excerpts.<locals>.<genexpr> at 0x14f22a2e0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x14f22a970>, <generator object gather_excerpts.<locals>.<genexpr> at 0x14f22a270>, <generator object gather_excerpts.<locals>.<genexpr> at 0x14f22a430>, <generator object gather_excerpts.<locals>.<genexpr> at 0x14f22ab30>, <generator object gather_excerpts.<locals>.<genexpr> at 0x14f957270>, <generator object gather_excerpts.<locals>.<genexpr> at 0x14f22a9e0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x14f22a5f0>]",7,8,False,,,
46196,37696,"The report, which is over 800 pages long, details the committee's findings and includes evidence of Trump's role in inciting the attack.","[[(76402, '(2021, 1, 6)', 'None.')], [(89356, '(2021, 1, 6)', 'None.')], [], [(85735, '(2021, 2, 9)', 'None.')], [(12274, '(2021, 2, 10)', 'None.')], [], [(77501, '(2022, 12, 23)', 'None.')], []]","[<generator object gather_excerpts.<locals>.<genexpr> at 0x14f957350>, <generator object gather_excerpts.<locals>.<genexpr> at 0x14f9575f0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x14f9573c0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x14f9574a0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x124cb9890>, <generator object gather_excerpts.<locals>.<genexpr> at 0x127cff6d0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x14f957200>, <generator object gather_excerpts.<locals>.<genexpr> at 0x14f957890>]",5,8,False,,,
46196,59866,"The committee also made 11 recommendations for safeguarding democracy and preventing future attacks, including clarifying the ceremonial role of the vice president in the transition of power and increasing law enforcement efforts against extremist groups.","[[(76402, '(2021, 1, 6)', 'None.')], [(89356, '(2021, 1, 6)', 'None.')], [(66103, '(2021, 1, 6)', 'None.')], [(85735, '(2021, 2, 9)', 'None.')], [(12274, '(2021, 2, 10)', 'None.')], [], [(77501, '(2022, 12, 23)', 'None.')], [(40482, '(2022, 12, 23)', 'None.')]]","[<generator object gather_excerpts.<locals>.<genexpr> at 0x1680942e0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x1269d0c10>, <generator object gather_excerpts.<locals>.<genexpr> at 0x14f9579e0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x168094ba0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x168094350>, <generator object gather_excerpts.<locals>.<genexpr> at 0x168094c80>, <generator object gather_excerpts.<locals>.<genexpr> at 0x1680944a0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x1680947b0>]",7,7,False,,,
46196,68311,Trump and his allies continue to deny the findings of the report and falsely claim that the 2020 election was stolen.,"[[(76402, '(2021, 1, 6)', 'None.')], [], [(66103, '(2021, 1, 6)', 'None.')], [(85735, '(2021, 2, 9)', 'None.')], [(12274, '(2021, 2, 10)', 'None.')], [(24011, '(2021, 10, 22)', 'None.')], [(77501, '(2022, 12, 23)', 'None.')], [(40482, '(2022, 12, 23)', 'None.')]]","[<generator object gather_excerpts.<locals>.<genexpr> at 0x168094510>, <generator object gather_excerpts.<locals>.<genexpr> at 0x1687c56d0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x1687c5200>, <generator object gather_excerpts.<locals>.<genexpr> at 0x1687c5510>, <generator object gather_excerpts.<locals>.<genexpr> at 0x1687c54a0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x1687c5270>, <generator object gather_excerpts.<locals>.<genexpr> at 0x1687c5ba0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x1687c55f0>]",7,8,False,,,
46196,89175,The Department of Justice will now determine whether to pursue criminal charges against Trump based on the committee's referral.,"[[(76402, '(2021, 1, 6)', 'None.')], [(89356, '(2021, 1, 6)', 'None.')], [(66103, '(2021, 1, 6)', 'None.')], [(85735, '(2021, 2, 9)', 'None.')], [(12274, '(2021, 2, 10)', 'None.')], [(24011, '(2021, 10, 22)', 'None.')], [(77501, '(2022, 12, 23)', 'None.')], []]","[<generator object gather_excerpts.<locals>.<genexpr> at 0x1687c5f20>, <generator object gather_excerpts.<locals>.<genexpr> at 0x1687c5820>, <generator object gather_excerpts.<locals>.<genexpr> at 0x168ee6740>, <generator object gather_excerpts.<locals>.<genexpr> at 0x168ee6270>, <generator object gather_excerpts.<locals>.<genexpr> at 0x168ee6510>, <generator object gather_excerpts.<locals>.<genexpr> at 0x168ee6d60>, <generator object gather_excerpts.<locals>.<genexpr> at 0x1687c5cf0>, <generator object gather_excerpts.<locals>.<genexpr> at 0x168ee63c0>]",7,7,False,,,
